id,time_2mi,speed_2mi,speed_2mi_ss,at_time,rc_time,at_time_retest,rc_time_retest
mar22_105,12.4,9.677419355,6.290322581,18:20:00,22:00:00,20:41:00,22:50:00
mar22_109,14.21666667,8.440797186,5.486518171,21:42:00,23:30:00,19:17:00,23:20:00
mar22_111,14.05,8.540925267,5.551601423,20:01:00,22:51:00,,
mar22_114,13.65,8.791208791,5.714285714,19:50:00,22:31:00,,
mar22_117,14.4,8.333333333,5.416666667,20:40:00,24:00:00,19:52:00,23:30:00
mar22_120,15.58333333,7.700534759,5.005347594,19:00:00,22:30:00,,
mar22_123,17.45,6.876790831,4.46991404,20:52:00,23:44:00,20:42:00,22:34:00
mar22_128,15.28333333,7.851690294,5.103598691,21:41:00,24:28:00,22:00:00,23:41:00
mar22_129,11.46666667,10.46511628,6.802325581,21:00:00,23:10:00,21:01:00,24:10:00
mar22_130,14.3,8.391608392,5.454545455,21:40:00,24:41:00,20:20:00,24:30:00
mar22_131,15.68333333,7.651434644,4.973432519,21:01:00,24:11:00,,
mar22_137,16.76666667,7.157057654,4.652087475,21:51:00,24:08:00,,
mar22_139,15.1,7.947019868,5.165562914,22:40:00,25:00:00,21:55:00,25:40:00
mar22_140,17.15,6.997084548,4.548104956,23:13:00,26:31:00,,
mar22_142,14.98333333,8.008898776,5.205784205,21:22:00,25:20:00,21:40:00,24:11:00
mar22_144,13.9,8.633093525,5.611510791,21:41:00,23:40:00,21:20:00,23:21:00
mar22_145,13.66666667,8.780487805,5.707317073,19:21:00,24:31:00,,
mar22_153,14.75,8.13559322,5.288135593,24:04:00,26:41:00,,
mar22_156,15.08,7.955801105,5.171270718,21:30:00,24:51:00,,
mar22_159,14.05,8.540925267,5.551601423,22:10:00,25:51:00,21:21:00,24:22:00
mar22_162,18.5,6.486486486,4.216216216,22:01:00,25:01:00,21:06:00,23:30:00
mar22_166,12.7,9.448818898,6.141732283,20:41:00,23:01:00,,
mar22_179,13.3,9.022556391,5.864661654,22:30:00,25:01:00,,
mar22_181,12.2,9.836065574,6.393442623,21:00:00,23:52:00,,
mar22_182,16.23333333,7.392197125,4.804928131,21:01:00,25:20:00,21:20:00,24:21:00
mar22_184,16.26666667,7.37704918,4.795081967,22:19:00,23:00:00,,
mar22_185,14.73333333,8.14479638,5.294117647,21:30:00,25:11:00,21:50:00,24:00:00
mar22_186,16.28333333,7.369498465,4.790174002,20:31:00,24:50:00,,
mar22_187,12.43333333,9.651474531,6.273458445,21:40:00,24:01:00,,
mar22_190,18.45,6.504065041,4.227642276,,,,
mar22_193,15.61666667,7.684098186,4.994663821,21:30:00,25:01:00,,
mar22_196,13.51666667,8.877928483,5.770653514,21:00:00,23:10:00,20:41:00,22:41:00
mar22_197,14.46666667,8.294930876,5.391705069,20:41:00,24:31:00,21:08:00,23:51:00
mar22_198,11.73333333,10.22727273,6.647727273,20:21:00,22:50:00,,