id,time_2mi,speed_2mi,speed_2mi_ss,at,rc
105,13.50,8.888888889,5.777777778,18:35:00,22:45:00
109,14.68,8.174386921,5.313351499,20:10:00,23:39:00
111,15.82,7.585335019,4.930467762,20:37:00,24:11:00
114,16.17,7.421150278,4.823747681,,
115,17.87,6.715165081,4.364857303,19:00:00,22:40:00
117,15.37,7.807417046,5.07482108,20:42:00,24:11:00
120,17.33,6.92440854,4.500865551,20:20:00,24:40:00
123,20.13,5.961251863,3.874813711,19:15:00,21:35:00
126,18.22,6.586169045,4.281009879,,
128,16.67,7.198560288,4.679064187,19:44:00,23:44:00
129,11.82,10.15228426,6.598984772,19:54:00,23:17:00
130,15.53,7.726980039,5.022537025,20:16:00,22:16:00
131,17.15,6.997084548,4.548104956,19:48:00,24:49:00
137,17.32,6.928406467,4.503464203,20:31:00,23:31:00
139,15.63,7.677543186,4.990403071,21:26:00,23:36:00
140,19.37,6.195147135,4.026845638,20:11:00,22:01:00
142,15.90,7.547169811,4.905660377,20:44:00,24:04:00
144,15.68,7.653061224,4.974489796,20:54:00,23:54:00
145,13.90,8.633093525,5.611510791,20:58:00,22:58:00
153,16.75,7.164179104,4.656716418,22:54:00,26:04:00
156,15.98,7.509386733,4.881101377,20:40:00,24:40:00
159,15.07,7.96284008,5.175846052,19:45:00,21:55:00
161,17.90,6.703910615,4.357541899,18:55:00,24:15:00
162,22.68,5.291005291,3.439153439,20:50:00,25:10:00
166,13.53,8.869179601,5.764966741,20:15:00,24:25:00
179,13.63,8.804108584,5.72267058,20:33:00,22:33:00
181,12.63,9.501187648,6.175771971,20:44:00,24:44:00
182,17.85,6.722689076,4.369747899,19:54:00,24:04:00
184,20.10,5.970149254,3.880597015,19:21:00,23:21:00
185,14.93,8.037508372,5.224380442,21:09:00,23:19:00
186,16.82,7.134363853,4.637336504,,
187,13.43,8.935219657,5.807892777,20:25:00,23:55:00
188,12.60,9.523809524,6.19047619,,
190,16.97,7.071302298,4.596346494,19:26:00,23:36:00
193,17.32,6.928406467,4.503464203,20:24:00,23:24:00
196,14.70,8.163265306,5.306122449,20:25:00,23:15:00
197,16.75,7.164179104,4.656716418,20:41:00,23:11:00
198,12.83,9.353078722,6.079501169,18:23:00,22:03:00